fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area
2016-03-28,18:15:00,2016-03-28,19:00:00,원주,신림,0.03
2016-03-28,13:03:00,2016-03-28,18:39:00,철원,김화,2.0
2016-03-27,11:43:00,2016-03-27,13:50:00,화천,사내,0.3
2016-03-24,13:02:00,2016-03-24,13:53:00,원주,소초,0.09
2016-03-23,16:30:00,2016-03-23,16:56:00,원주,호저,0.03
2016-03-18,13:46:00,2016-03-18,15:50:00,춘천,동산,0.6
2016-03-17,12:30:00,2016-03-17,13:50:00,홍천,서,0.1
2016-03-17,12:20:00,2016-03-17,13:35:00,강릉,성산,0.6
2016-03-16,13:08:00,2016-03-16,13:45:00,횡성,우천,0.04
2016-03-16,11:27:00,2016-03-16,12:20:00,영월,북,0.02
2016-03-15,17:11:00,2016-03-15,18:09:00,화천,상서,0.1
2016-03-06,15:28:00,2016-03-06,17:00:00,정선,남,0.1
