fire_start_datetime,start_time,fire_end_datetime,end_time,locgungu,locmenu,damage_area,corrected_address,original_address
2014-11-11,11:33:00,2014-11-11,12:15:00,양구,양구,0.05,강원도 양구군 양구읍,강원도 양구 양구
2014-11-09,13:20:00,2014-11-09,16:50:00,홍천,내촌,0.01,강원도 홍천군 내촌면,강원도 홍천 내촌
2014-10-30,14:43:00,2014-10-30,18:20:00,평창,대화,0.5,강원도 평창군 대화면,강원도 평창 대화
2014-10-29,13:30:00,2014-10-29,16:10:00,인제,기린,0.7,강원도 인제군 기린면,강원도 인제 기린
2014-10-28,11:57:00,2014-10-28,13:30:00,홍천,두촌,0.02,강원도 홍천군 두촌면,강원도 홍천 두촌
2014-09-20,13:56:00,2014-09-20,18:40:00,화천,화천,0.25,강원도 화천군 화천읍,강원도 화천 화천
2014-07-20,18:05:00,2014-07-20,20:00:00,춘천,칠전,0.01,강원도 춘천시 칠전동,강원도 춘천 칠전
2014-06-19,15:00:00,2014-06-19,18:00:00,인제,남,0.04,강원도 인제군 남면,강원도 인제 남
2014-06-15,14:10:00,2014-06-15,17:20:00,인제,인제,0.05,강원도 인제군 인제읍,강원도 인제 인제
2014-06-10,17:18:00,2014-06-10,20:00:00,원주,흥업,0.01,강원도 원주시 흥업면,강원도 원주 흥업
2014-06-01,21:45:00,2014-06-02,01:50:00,횡성,갑천,0.1,강원도 횡성군 갑천면,강원도 횡성 갑천
2014-05-31,17:02:00,2014-05-31,19:04:00,평창,미탄,0.5,강원도 평창군 미탄면,강원도 평창 미탄
2014-05-30,10:00:00,2014-05-30,14:00:00,삼척,도계,0.5,강원도 삼척시 도계읍,강원도 삼척 도계
2014-05-28,15:40:00,2014-05-28,19:05:00,양구,남,0.1,강원도 양구군 국토정중앙면,강원도 양구 남
2014-05-26,12:10:00,2014-05-26,14:10:00,삼척,근덕,0.3,강원도 삼척시 근덕면,강원도 삼척 근덕
2014-01-19,19:50:00,2014-01-19,20:45:00,원주,신림,0.02,강원도 원주시 신림면,강원도 원주 신림
2014-01-16,10:40:00,2014-01-16,14:00:00,정선,북평,0.2,강원도 정선군 북평면,강원도 정선 북평
2014-01-15,16:23:00,2014-01-15,17:40:00,삼척,도계,0.1,강원도 삼척시 도계읍,강원도 삼척 도계
2014-01-13,12:50:00,2014-01-13,14:40:00,화천,상서,0.15,강원도 화천군 상서면,강원도 화천 상서
2014-05-14,18:24:00,2014-05-14,19:40:00,정선,임계,0.1,강원도 정선군 임계면,강원도 정선 임계
2014-05-13,11:19:00,2014-05-13,13:30:00,고성,간성,0.5,강원도 고성군 간성읍,강원도 고성 간성
2014-05-11,16:36:00,2014-05-11,18:00:00,인제,남,0.03,강원도 인제군 남면,강원도 인제 남
2014-05-10,15:02:00,2014-05-10,17:48:00,영월,북,0.1,강원도 영월군 북면,강원도 영월 북
2014-05-09,16:12:00,2014-05-09,18:25:00,삼척,노곡,0.3,강원도 삼척시 노곡면,강원도 삼척 노곡
2014-05-06,18:20:00,2014-05-06,20:40:00,영월,영월,0.5,강원도 영월군 영월읍,강원도 영월 영월
2014-05-05,19:10:00,2014-05-05,21:00:00,양구,동,0.05,강원도 양구군 동면,강원도 양구 동
2014-05-04,18:42:00,2014-05-04,21:17:00,홍천,동,0.1,강원도 홍천군 영귀미면,강원도 홍천 동
2014-04-27,15:25:00,2014-04-27,16:35:00,양양,현남,0.01,강원도 양양군 현남면,강원도 양양 현남
2014-04-26,15:10:00,2014-04-26,17:50:00,양구,남,0.1,강원도 양구군 국토정중앙면,강원도 양구 남
2014-04-26,13:20:00,2014-04-26,16:00:00,영월,한반도,0.1,강원도 영월군 한반도면,강원도 영월 한반도
2014-04-26,10:40:00,2014-04-26,12:37:00,평창,용평,0.3,강원도 평창군 용평면,강원도 평창 용평
2014-04-25,20:20:00,2014-04-25,21:40:00,화천,화천,0.1,강원도 화천군 화천읍,강원도 화천 화천
2014-04-25,14:10:00,2014-04-25,15:10:00,양양,현남,0.04,강원도 양양군 현남면,강원도 양양 현남
2014-04-25,10:24:00,2014-04-25,12:15:00,삼척,등봉,0.5,강원도 삼척시 등봉동,강원도 삼척 등봉
2014-04-24,18:39:00,2014-04-24,22:25:00,영월,수주,0.15,강원도 영월군 무릉도원면,강원도 영월 수주
2014-04-24,18:10:00,2014-04-24,19:30:00,춘천,남산,0.06,강원도 춘천시 남산면,강원도 춘천 남산
2014-04-24,15:20:00,2014-04-24,18:00:00,춘천,동산,0.05,강원도 춘천시 동산면,강원도 춘천 동산
2014-04-24,12:54:00,2014-04-24,18:30:00,영월,수주,1.0,강원도 영월군 무릉도원면,강원도 영월 수주
2014-04-24,12:05:00,2014-04-24,15:15:00,횡성,우천,0.4,강원도 횡성군 우천면,강원도 횡성 우천
2014-04-24,10:50:00,2014-04-24,20:30:00,홍천,서석,2.5,강원도 홍천군 서석면,강원도 홍천 서석
2014-04-23,13:30:00,2014-04-23,16:40:00,춘천,남,0.03,강원도 춘천시 남면,강원도 춘천 남
2014-04-22,14:46:00,2014-04-22,17:10:00,홍천,화촌,0.5,강원도 홍천군 화촌면,강원도 홍천 화촌
2014-04-22,10:35:00,2014-04-22,13:00:00,인제,북,0.05,강원도 인제군 북면,강원도 인제 북
2014-04-21,16:05:00,2014-04-21,17:30:00,고성,토성,0.09,강원도 고성군 토성면,강원도 고성 토성
2014-04-21,13:15:00,2014-04-21,15:30:00,영월,한반도,0.1,강원도 영월군 한반도면,강원도 영월 한반도
2014-04-20,13:41:00,2014-04-20,15:13:00,홍천,서,0.2,강원도 홍천군 서면,강원도 홍천 서
2014-04-17,19:14:00,2014-04-17,21:15:00,춘천,동,0.03,강원도 춘천시 동면,강원도 춘천 동
2014-04-16,22:57:00,2014-04-16,00:30:00,춘천,동,0.09,강원도 춘천시 동면,강원도 춘천 동
2014-04-13,14:20:00,2014-04-13,16:10:00,홍천,북방,0.1,강원도 홍천군 북방면,강원도 홍천 북방
2014-04-12,14:04:00,2014-04-12,16:00:00,양구,양구,0.2,강원도 양구군 양구읍,강원도 양구 양구
2014-04-11,16:46:00,2014-04-11,18:10:00,원주,지정,0.1,강원도 원주시 지정면,강원도 원주 지정
2014-04-11,14:50:00,2014-04-11,17:30:00,춘천,동,0.01,강원도 춘천시 동면,강원도 춘천 동
