original_fire_id,start_datetime,total_duration_hours,final_damage_area_ha,duration_hours,estimated_damage_area,timestamp,lat,lng,T2M,RH2M,WS10M,WD10M,PRECTOTCORR,FFMC,DMC,DC,ISI,BUI,FWI
25,2011-03-18 12:00:00,0.8333333333333334,0.2,1,0.24,2011-03-18 13:00:00,37.68943404802,127.884306327398,7.37,40.05,6.34,244.5,0.0,85.5998925194262,6.45201248477,19.8306,15.152070137620862,7.115964012225182,317624.64559314714
26,2011-03-14 19:40:00,1.3333333333333333,0.1,1,0.07500000000000001,2011-03-14 20:40:00,37.1874352109429,128.466067893114,0.99,95.53,3.82,66.4,0.0,84.47056396983606,6.008316328614,18.6822,11.425459071866948,6.661044885233728,24641.479113257614
26,2011-03-14 19:40:00,1.3333333333333333,0.1,2,0.15000000000000002,2011-03-14 21:40:00,37.1874352109429,128.466067893114,0.65,96.03,2.91,74.1,0.0,84.55555186947612,6.00618452555,18.621,11.039881609992092,6.64999572973107,19524.775648632338
27,2011-03-11 13:43:00,1.2,0.1,1,0.08333333333333334,2011-03-11 14:43:00,37.4594058323665,128.06243796948,5.39,43.23,9.15,281.9,0.0,85.372900071359,6.327975515714,19.4742,16.91454061264475,6.983157261541106,685993.5559990093
27,2011-03-11 13:43:00,1.2,0.1,2,0.16666666666666669,2011-03-11 15:43:00,37.4594058323665,128.06243796948,4.97,44.16,8.33,279.6,0.0,85.30265545628637,6.301725442784,19.398600000000002,16.072649663138638,6.95502242239097,428501.4260901742
28,2011-03-09 17:20:00,1.1666666666666667,0.3,1,0.2571428571428571,2011-03-09 18:20:00,37.9873330402956,127.885966945811,-3.74,69.68,5.36,274.9,0.0,84.26778699915266,5.928745719936,17.8308,12.013960215446723,6.475078309830469,28468.46671799951
28,2011-03-09 17:20:00,1.1666666666666667,0.3,2,0.5142857142857142,2011-03-09 19:20:00,37.9873330402956,127.885966945811,-5.66,79.27,4.41,271.3,0.0,84.2054964268354,5.915852352816,17.4852,11.356899521217327,6.40993980340387,18500.284837086136
29,2011-03-09 13:15:00,4.583333333333333,2.0,1,0.4363636363636364,2011-03-09 14:15:00,37.1874352109429,128.466067893114,-0.75,52.27,9.3,295.4,0.0,84.71582617749247,6.01487090199,18.369,15.569597716528461,6.614774432605878,219326.07594926137
29,2011-03-09 13:15:00,4.583333333333333,2.0,2,0.8727272727272728,2011-03-09 15:15:00,37.1874352109429,128.466067893114,-0.96,54.0,9.03,293.8,0.0,84.64830001446619,6.0057327592,18.3312,15.218503022136602,6.603120843428511,180655.17695117005
29,2011-03-09 13:15:00,4.583333333333333,2.0,3,1.309090909090909,2011-03-09 16:15:00,37.1874352109429,128.466067893114,-1.35,56.35,8.54,292.4,0.0,84.5628779155279,5.99028591075,18.261,14.675873335511833,6.5823961092758,133158.6606503839
29,2011-03-09 13:15:00,4.583333333333333,2.0,4,1.7454545454545456,2011-03-09 17:15:00,37.1874352109429,128.466067893114,-2.1,60.61,7.29,290.2,0.0,84.43743667138006,5.9649358098,18.126,13.547650953744649,6.545148941777581,70481.17172139722
29,2011-03-09 13:15:00,4.583333333333333,2.0,5,2.181818181818182,2011-03-09 18:15:00,37.1874352109429,128.466067893114,-3.33,68.56,6.05,287.9,0.0,84.26909885190399,5.937588411984,17.9046,12.441217540348028,6.492505910193819,36656.75754498738
30,2011-02-26 16:50:00,0.4166666666666667,0.03,1,0.072,2011-02-26 17:50:00,37.3552337842644,127.955206525576,2.13,84.87,2.96,159.4,0.0,84.1804740635365,6.043503007582,18.8874,10.521294243056579,6.715232957828286,15326.179019716388
31,2011-02-12 07:30:00,0.8333333333333334,0.3,1,0.36,2011-02-12 08:30:00,37.1697663767707,127.884667844212,-8.84,90.78,5.28,317.8,0.49,84.31607333881523,5.936474262696,16.9128,12.043689245012711,6.323766912001097,24760.35200646751
32,2011-02-11 17:50:00,2.5,0.3,1,0.12,2011-02-11 18:50:00,37.8163476368407,128.086739600183,-3.96,93.52,0.91,337.4,18.77,21.436270081115605,-31.152280562410375,-13.224201995070523,0.0011282865654716127,0.0,0.0
32,2011-02-11 17:50:00,2.5,0.3,2,0.24,2011-02-11 19:50:00,37.8163476368407,128.086739600183,-4.42,95.09,1.26,350.4,21.05,20.748791071243566,-34.30771264249233,-16.81210874843044,0.000889324341781607,0.0,0.0
32,2011-02-11 17:50:00,2.5,0.3,3,0.36,2011-02-11 20:50:00,37.8163476368407,128.086739600183,-4.92,95.84,1.91,4.5,22.89,20.39330173286407,-36.707162385246555,-19.68432840411595,0.0008032705091900435,0.0,0.0
33,2011-02-01 21:15:00,1.3833333333333333,0.2,1,0.14457831325301207,2011-02-01 22:15:00,37.7943429825133,128.85475999806,-0.76,81.65,5.63,257.1,0.0,84.08931025767657,6.00555383302,18.3672,11.890382467710294,6.608845083452269,30450.382655444577
33,2011-02-01 21:15:00,1.3833333333333333,0.2,2,0.28915662650602414,2011-02-01 23:15:00,37.7943429825133,128.85475999806,-0.73,81.14,5.64,257.4,0.0,84.09201608100575,6.006211854076,18.3726,11.900681984786104,6.610117375002145,30666.476991984753
34,2011-01-31 21:31:00,10.65,3.5,1,0.32863849765258213,2011-01-31 22:31:00,38.1499826978456,128.607652116524,-2.31,83.0,10.06,267.8,0.0,83.9488920036408,5.9816889974,18.0882,14.588339668631312,6.549034771530752,122410.820191918
34,2011-01-31 21:31:00,10.65,3.5,2,0.6572769953051643,2011-01-31 23:31:00,38.1499826978456,128.607652116524,-2.42,84.41,9.69,268.3,0.0,83.95839932624996,5.981681163816,18.0684,14.33700254579185,6.5457837007191,106983.4156107203
34,2011-01-31 21:31:00,10.65,3.5,3,0.9859154929577464,2011-02-01 00:31:00,38.1499826978456,128.607652116524,-2.59,85.64,9.38,269.1,0.0,83.9734369674847,5.980953352648,18.0378,14.143079878011754,6.540323776708661,96052.06867581258
34,2011-01-31 21:31:00,10.65,3.5,4,1.3145539906103285,2011-02-01 01:31:00,38.1499826978456,128.607652116524,-2.82,87.32,9.13,267.1,0.0,83.99876123266658,5.980585530272,17.9964,14.01324333780933,6.5332921130443395,89005.85539228028
34,2011-01-31 21:31:00,10.65,3.5,5,1.6431924882629105,2011-02-01 02:31:00,38.1499826978456,128.607652116524,-3.08,88.59,8.87,265.7,0.0,84.03123220557616,5.979889231476,17.9496,13.890889720393453,6.525156733016623,82689.33734538479
34,2011-01-31 21:31:00,10.65,3.5,6,1.9718309859154928,2011-02-01 03:31:00,38.1499826978456,128.607652116524,-3.37,88.7,8.59,264.5,0.0,84.04816752611072,5.97716599282,17.8974,13.727281964541895,6.514902838073748,74978.25990213528
34,2011-01-31 21:31:00,10.65,3.5,7,2.300469483568075,2011-02-01 04:31:00,38.1499826978456,128.607652116524,-3.58,88.52,8.4,264.2,0.0,84.05515978034849,5.974656219328,17.8596,13.609187908572657,6.5071464552467635,69827.23464355344
