t2m_mean,t2m_max,t2m_min,t2m_std,rh2m_mean,rh2m_max,rh2m_min,rh2m_std,ws2m_mean,ws2m_max,ws2m_min,ws2m_std,ws10m_mean,ws10m_max,ws10m_min,ws10m_std,wd2m_mean,wd10m_mean,prectotcorr_sum,prectotcorr_max,ps_mean,ps_max,ps_min,ps_std,allsky_sfc_sw_dwn_mean,allsky_sfc_sw_dwn_max,allsky_sfc_sw_dwn_min,allsky_sfc_sw_dwn_std,total_precip_7d,no_rain_days_7d
4.17,6.21,2.13,2.884995667241114,75.605,84.87,66.34,13.102688655386727,2.2649999999999997,3.09,1.44,1.1667261889578033,3.7,4.44,2.96,1.0465180361560906,161.65,161.75,0.0,0.0,97.18,97.18,97.18,0.0,47.735,95.47,0.0,67.50748439987969,0.0,7
-9.2,-8.84,-9.56,0.5091168824543147,92.55,94.32,90.78,2.5031580054003726,3.825,3.88,3.77,0.07778174593052013,5.27,5.28,5.26,0.014142135623731277,313.54999999999995,313.6,2.15,1.66,97.41,97.46,97.36,0.07071067811865074,206.4,284.0,128.8,109.74297244015217,4.16,4
-4.0600000000000005,-3.2,-4.92,1.2162236636408617,92.09,95.84,88.34,5.303300858899107,0.81,1.23,0.39,0.5939696961966999,1.19,1.91,0.47,1.0182337649086284,152.9,154.95,39.0,22.89,95.435,95.45,95.42,0.02121320343559723,11.975,23.95,0.0,16.935207409417814,0.87,3
-0.835,-0.76,-0.91,0.10606601717798214,81.885,82.12,81.65,0.33234018715767655,4.27,4.35,4.19,0.11313708498984708,5.52,5.63,5.41,0.15556349186104027,258.7,257.9,0.0,0.0,99.675,99.69,99.66,0.02121320343559723,0.0,0.0,0.0,0.0,0.02,6
-2.8609999999999998,-2.11,-3.72,0.6374990196070893,86.17366666666665,89.36,81.32,3.4771145444974265,7.006,7.98,6.12,0.777868883553006,8.998333333333331,10.39,7.67,1.1331372379372244,266.0666666666666,265.61666666666645,0.0,0.0,99.62133333333331,99.76,99.56,0.08064324728912059,22.4,112.0,0.0,50.08792269599529,0.52,5
-2.372619047619046,-0.32,-3.72,1.0781284611937387,83.94499999999998,89.36,75.07,4.971131755035852,7.019523809523808,8.37,5.69,1.0334882116395343,9.004047619047613,10.88,7.07,1.48015510234033,265.4285714285713,265.02619047619015,0.0,0.0,99.63952380952378,99.79,99.56,0.09062393951212755,81.4319047619047,431.95,0.0,162.90434927983262,0.52,5
-4.745,-4.71,-4.78,0.049497474683058526,80.905,81.05,80.76,0.20506096654409317,4.8149999999999995,4.88,4.75,0.0919238815542511,6.115,6.18,6.05,0.0919238815542511,280.54999999999995,279.35,0.0,0.0,99.95,99.95,99.95,0.0,0.0,0.0,0.0,0.0,0.09,5
-1.3477777777777777,-0.663333333333333,-2.2,0.7819514998694922,60.85777777777778,64.22,57.6833333333333,3.2723765290913946,2.5655555555555534,3.75,1.27,1.2437279683513025,2.858888888888887,4.15,1.51,1.3209480321737503,351.7444444444443,348.31111111111096,0.03,0.02,100.73222222222199,100.77,100.71,0.03288588574893233,247.54888888888865,432.02,0.0,222.81028844520844,4.28,0
1.72,1.76,1.68,0.05656854249492385,49.425,50.41,48.44,1.3930003589374977,2.665,2.69,2.64,0.03535533905932725,3.51,3.53,3.49,0.028284271247461613,271.5,271.4,0.0,0.0,98.165,98.18,98.15,0.02121320343559723,453.84000000000003,506.38,401.3,74.30278056708241,1.78,2
18.86,19.05,18.67,0.2687005768508874,63.370000000000005,63.45,63.29,0.11313708498985021,1.9050000000000002,2.24,1.57,0.47376154339498694,2.585,3.04,2.13,0.6434671708797584,265.45,265.35,0.0,0.0,97.04499999999999,97.1,96.99,0.07778174593051983,291.26,439.17,143.35,209.1763280106045,3.12,4
19.3,19.48,19.12,0.2545584412271567,46.465,46.47,46.46,0.0070710678118640685,3.245,3.29,3.2,0.06363961030678918,4.46,4.51,4.41,0.0707106781186545,267.8,268.55,0.0,0.0,99.16,99.16,99.16,0.0,398.85,469.3,328.4,99.63134546918458,0.169999999999999,5
24.880000000000003,28.12,21.64,4.582051942088828,61.815,72.05,51.58,14.474475810888627,2.5,2.71,2.29,0.2969848480983499,3.395,3.77,3.02,0.5303300858899106,157.45,157.5,0.12,0.12,99.435,99.49,99.38,0.07778174593051983,402.20000000000005,594.08,210.32,271.35929834814954,2.29,2
23.61,24.32,22.9,1.0040916292848987,62.934999999999995,65.21,60.66,3.2173358543987893,1.925,1.98,1.87,0.07778174593052013,2.675,2.77,2.58,0.134350288425444,281.5,281.45,1.0899999999999999,0.7,95.84,95.84,95.84,0.0,258.315,396.35,120.28,195.21096908217018,3.51,2
25.924444444444433,27.54,22.74,2.757908493634118,57.56999999999999,76.17,47.9,16.11232137216733,0.41333333333333294,0.6,0.25,0.17616280348965088,0.7422222222222219,1.41,0.31,0.5866130025961024,69.64444444444443,69.38888888888886,0.05,0.03,95.52888888888886,95.58,95.4866666666666,0.04729732589734935,406.21000000000004,760.33,0.0,382.8321476835507,3.55,1
26.985555555555536,27.3866666666666,26.31,0.5884663054012241,56.21444444444444,57.77,54.8733333333333,1.4601915145826967,3.31,3.32,3.3,0.010000000000000009,4.788888888888887,4.93,4.67,0.13141678115967717,59.61111111111111,59.4111111111111,2.4,1.5,97.6322222222222,97.76,97.54,0.11422849096504271,689.341111111111,910.72,402.0,260.6957434834147,5.82,2
15.375,15.85,15.0,0.43373378932243656,89.50999999999999,90.91,87.37,1.8824452183264153,2.481666666666667,3.69,1.34,1.1764175845903244,3.8633333333333333,5.55,2.33,1.6154669087707532,96.7,96.66666666666667,0.08,0.07,97.64333333333333,97.67,97.63,0.02309401076758864,0.0,0.0,0.0,0.0,12.94,0
