fire_start_datetime,start_time,fire_end_datetime,end_time,corrected_address,damage_area,latitude,longitude
2013-05-08,12:35:00,2013-05-08,14:40:00,강원도 횡성군 강림면,0.2,37.3602310480308,128.125412513164
2013-05-08,11:10:00,2013-05-08,12:40:00,강원도 속초시 설악동,0.01,38.1664614434463,128.467814979983
2013-05-06,14:50:00,2013-05-06,16:19:00,강원도 춘천시 동면,0.1,37.910341608957,127.781091988381
2013-05-06,01:27:00,2013-05-06,04:30:00,강원도 춘천시 동면,0.5,37.910341608957,127.781091988381
2013-04-01,14:20:00,2013-04-01,15:10:00,강원도 춘천시 동면,0.01,37.910341608957,127.781091988381
2013-03-28,02:20:00,2013-03-28,02:55:00,강원도 강릉시 교동,0.02,37.7655714454507,128.874476030758
2013-03-27,16:02:00,2013-03-27,18:40:00,강원도 홍천군 홍천읍,0.1,37.68943404802,127.884306327398
2013-03-27,14:37:00,2013-03-27,18:30:00,강원도 춘천시 남산면,4.0,37.79186457822,127.646194579037
2013-03-23,14:38:00,2013-03-23,15:40:00,강원도 원주시 지정면,0.1,37.3621506214657,127.840189486855
2013-03-16,10:55:00,2013-03-16,12:51:00,강원도 양양군 강현면,0.2,38.1499826978456,128.607652116524
2013-03-04,12:27:00,2013-03-04,14:00:00,강원도 삼척시 근덕면,0.2,37.3792784455933,129.225825562476
2013-02-28,12:10:00,2013-02-28,13:00:00,강원도 삼척시 원덕읍,0.02,37.1764583972782,129.335713745385
2013-01-12,16:40:00,2013-01-12,18:50:00,강원도 양양군 강현면,0.1,38.1499826978456,128.607652116524
2013-03-11,12:50:00,2013-03-11,13:30:00,강원도 양구군 양구읍,0.1,38.1080405251365,127.990430398263
2013-03-09,13:15:00,2013-03-09,14:20:00,강원도 춘천시 북산면,0.3,37.9873330402956,127.885966945811
2013-03-08,12:13:00,2013-03-08,14:30:00,강원도 양양군 현남면,1.0,37.9692314024179,128.759480350041
2013-03-06,15:10:00,2013-03-06,17:10:00,강원도 춘천시 남산면,0.05,37.79186457822,127.646194579037
2013-05-04,12:33:00,2013-05-04,13:30:00,강원도 홍천군 홍천읍,0.1,37.68943404802,127.884306327398
2013-04-30,12:05:00,2013-04-30,15:30:00,강원도 삼척시 신기면,0.8,37.3496092010973,129.083182759223
2013-04-29,09:25:00,2013-04-29,10:20:00,강원도 태백시 철암동,0.07,37.1172794336425,129.03979919636
2013-04-27,11:45:00,2013-04-27,13:30:00,강원도 양양군 현남면,0.3,37.9692314024179,128.759480350041
2013-04-19,11:09:00,2013-04-19,11:50:00,강원도 홍천군 남면,0.1,37.6181202912817,127.767631386937
2013-04-18,18:40:00,2013-04-19,07:30:00,강원도 홍천군 서면,0.1,37.6885985446756,127.664103886782
2014-12-22,10:26:00,2014-12-22,11:30:00,강원도 양양군 현북면,0.05,38.0190056461486,128.723115872388
2014-11-23,08:34:00,2014-11-23,10:30:00,강원도 양양군 서면,1.0,38.0715261451956,128.585234510802
2014-11-11,11:33:00,2014-11-11,12:15:00,강원도 양구군 양구읍,0.05,38.1080405251365,127.990430398263
2014-11-09,13:20:00,2014-11-09,16:50:00,강원도 홍천군 내촌면,0.01,37.8163476368407,128.086739600183
2014-10-30,14:43:00,2014-10-30,18:20:00,강원도 평창군 대화면,0.5,37.5009465792778,128.458050807458
2014-10-29,13:30:00,2014-10-29,16:10:00,강원도 인제군 기린면,0.7,37.9556038449986,128.319189529764
2014-10-28,11:57:00,2014-10-28,13:30:00,강원도 홍천군 두촌면,0.02,37.8686986720293,128.018956858672
2014-09-20,13:56:00,2014-09-20,18:40:00,강원도 화천군 화천읍,0.25,38.1042562811837,127.707178844679
2014-07-20,18:05:00,2014-07-20,20:00:00,강원도 춘천시 칠전동,0.01,37.8442904881827,127.699485601048
2014-06-19,15:00:00,2014-06-19,18:00:00,강원도 인제군 남면,0.04,37.9659219985446,128.08336017963
2014-06-15,14:10:00,2014-06-15,17:20:00,강원도 인제군 인제읍,0.05,38.0703902211485,128.172217558963
2014-06-10,17:18:00,2014-06-10,20:00:00,강원도 원주시 흥업면,0.01,37.3025500299786,127.921181194086
2014-06-01,21:45:00,2014-06-02,01:50:00,강원도 횡성군 갑천면,0.1,37.5609554668992,128.11019928627
2014-05-31,17:02:00,2014-05-31,19:04:00,강원도 평창군 미탄면,0.5,37.3420792035649,128.495781431646
2014-05-30,10:00:00,2014-05-30,14:00:00,강원도 삼척시 도계읍,0.5,37.2364370242581,129.045174522503
2014-05-28,15:40:00,2014-05-28,19:05:00,강원도 양구군 국토정중앙면,0.1,38.1084781281203,128.034570007438
2014-05-26,12:10:00,2014-05-26,14:10:00,강원도 삼척시 근덕면,0.3,37.3792784455933,129.225825562476
